Datetime,Price,Market Cap,Volume
2025-02-15 15:03:58.198000,97401.87016895857,1930783602394.5403,30480921112.481415
2025-02-15 16:04:11.383000,97504.16571792305,1932992769901.0574,27645983741.152985
2025-02-15 17:09:13.164000,97524.57452619587,1934613072388.061,27636800510.861076
2025-02-15 18:00:59.437000,97726.54687428048,1937529352136.3333,30001105156.15559
2025-02-15 19:04:18.755000,97599.45342665966,1935269529733.3914,27123846018.64413
2025-02-15 20:01:43.979000,97755.57301650841,1939131047773.4749,29536528258.406834
2025-02-15 21:04:00.850000,97743.06912727187,1938271667336.2485,29356263682.872425
2025-02-15 22:04:20.336000,97643.02998914919,1935916839024.311,28095022918.428986
2025-02-15 23:09:10.344000,97690.30146549319,1936111049982.0647,26029707857.059334
2025-02-16 00:03:55.009000,97533.1040216401,1933639599418.1707,23769658656.07321
2025-02-16 01:00:40.667000,97422.02899712167,1930270152340.1396,22005571844.832317
2025-02-16 02:00:33.236000,97595.31113086389,1934282470282.1035,19792572380.666374
2025-02-16 03:04:19.773000,97588.83350317659,1934221819114.0845,18118512648.267227
2025-02-16 04:04:15.188000,97552.17038179221,1933721789761.4375,15692094770.918232
2025-02-16 05:04:16.328000,97709.33332248866,1936107552408.7493,14260599617.37751
2025-02-16 06:03:30.801000,97545.4160810322,1932470989678.6975,14680927133.062716
2025-02-16 07:08:58.860000,97651.63779310409,1934560908205.9382,15095114124.185019
2025-02-16 08:03:17.474000,97619.7866463706,1935070696348.6086,12776086201.377264
2025-02-16 09:03:35.776000,97670.43504008041,1936036302067.8853,14091643924.901743
2025-02-16 10:00:38.025000,97548.37442069995,1932706197133.1206,13942868864.138897
2025-02-16 11:03:56.282000,97557.1527649986,1934066261051.3755,12238542322.116524
2025-02-16 12:03:59.283000,97540.4302583713,1933552637179.8743,13736480703.217913
2025-02-16 13:03:58.157000,97602.86236725133,1934975477593.5469,10715510918.722769
2025-02-16 14:01:12.853000,97485.10316361366,1932610896675.1892,12600689292.045734
2025-02-16 15:04:05.580000,97230.9985896581,1927644281705.479,13706217334.425184
2025-02-16 16:07:02.379000,97125.39953728911,1925261762168.948,13328804103.56002
2025-02-16 17:02:25.441000,97374.59042056215,1930462012319.886,12393348060.12913
2025-02-16 18:03:27.604000,97179.53603625878,1926344979680.66,13877564233.397774
2025-02-16 19:03:49.790000,97336.20781895904,1929586758451.4583,13857363674.724987
2025-02-16 20:03:56.263000,97102.97273794797,1924882702750.3103,12829087417.170279
2025-02-16 21:03:53.782000,96820.88754034557,1919464423463.4524,13578576794.291811
2025-02-16 22:04:03.853000,96973.53423641954,1922464136347.678,12959969976.900866
2025-02-16 23:04:02.746000,96965.21530590902,1922641521882.7048,7168382996.288533
2025-02-17 00:04:15.153000,97074.7553724119,1924113707742.574,10922443039.37593
2025-02-17 01:04:16.263000,96972.41824936462,1922244372961.0127,11505586027.095198
2025-02-17 02:02:37.915000,96911.18680524954,1921334343084.8335,12396441857.152328
2025-02-17 03:01:05.214000,97057.54396616183,1924111890476.385,12927994608.219841
2025-02-17 04:03:54.909000,96915.58776734979,1921260839511.104,13000447198.650002
2025-02-17 05:04:18.072000,97161.8859953998,1925806142943.3308,13875641367.773146
2025-02-17 06:03:42.553000,96889.88885007307,1920526548847.5732,12394650067.541912
2025-02-17 07:04:01.303000,96122.86600485025,1906788427878.0713,13845334001.297956
2025-02-17 08:04:16.994000,96306.8893048766,1908327000610.1235,15601263595.978914
2025-02-17 09:01:57.801000,96529.14863264606,1913768847155.041,15852849154.007685
2025-02-17 10:00:53.065000,96203.28295054514,1907046513353.4182,14341275565.190908
2025-02-17 11:06:49.888000,96185.61060460084,1907282765262.5117,14611204827.422426
2025-02-17 12:04:01.732000,96124.05481404,1904736209740.8848,16653673921.216747
2025-02-17 13:03:47.584000,96258.4683507194,1908962007211.1396,17244873622.953552
2025-02-17 14:04:03.554000,96363.60291349764,1910730268669.8745,16092845848.025742
2025-02-17 15:04:02.845000,96103.04905731311,1904949287799.3076,18945726144.55995
2025-02-17 16:04:09.644000,96125.59652377032,1906185168741.8647,17883275843.384888
2025-02-17 17:04:47.383000,96162.96642649428,1906476877223.2117,19162630577.355244
2025-02-17 18:04:12.831000,96115.17848679269,1905659621822.9775,18040777708.302776
2025-02-17 19:04:09.411000,96070.76836745605,1903899779665.1394,18358807044.562477
2025-02-17 20:03:56.823000,96472.19885359015,1912876176830.333,20089843574.081627
2025-02-17 21:09:01.694000,96469.90302563595,1912032013556.917,20941631880.295856
2025-02-17 22:03:19.163000,96825.39185696325,1919378985523.2766,22355142767.86915
2025-02-17 23:03:59.096000,95601.77121160176,1897767894540.5125,22341237276.249218
2025-02-18 00:03:49.983000,95367.30839787448,1891838407450.2407,25396238657.029022
2025-02-18 01:04:08.444000,95473.9227113629,1895539397165.2664,26932755830.40105
2025-02-18 02:04:17.506000,95305.81471590063,1888827711528.0,25210154267.500793
2025-02-18 03:04:24.419000,95517.3362841228,1894263560512.1018,26369026448.230213
2025-02-18 04:04:25.810000,96001.22510228083,1903298052449.1328,25922568514.33841
2025-02-18 05:04:28.726000,96394.20010452533,1911097928188.221,28668565900.603367
2025-02-18 06:03:53.370000,95910.6343997475,1902326086653.527,26620552713.17731
2025-02-18 07:04:13.462000,95784.62953852078,1898604999079.4915,25289167088.713013
2025-02-18 08:04:27.335000,95657.12403089936,1895482837426.0618,26953185131.93754
